CustomerID;TotalQuantity;TotalRevenue;OrderCount;CategoryCount;AvgCheck;RecencyDays
11760;1;24.49;3;2;8.16;0
11698;1;35;5;2;7;0
24933;1;32.6;1;1;32.6;0
11405;1;53.99;1;1;53.99;0
26054;1;24.99;1;1;24.99;0
23678;1;29.99;1;1;29.99;0
20340;1;2443.35;1;1;2443.35;0
16992;1;4.99;1;1;4.99;0
11771;1;35;2;2;17.5;0
15807;1;24.99;2;2;12.5;0
15603;1;24.99;2;1;12.5;0
24154;2;29.48;1;2;29.48;0
12080;2;2354.99;1;2;2354.99;0
24395;2;36.59;1;1;36.59;0
22844;2;39.99;1;1;39.99;0
27152;2;38.98;1;1;38.98;0
22034;2;14.98;1;1;14.98;0
27957;2;6.28;1;1;6.28;0
14974;2;39.99;2;2;20;0
15186;2;59.48;2;2;29.74;0
17110;2;7.28;2;1;3.64;0
12364;2;5898.26;2;1;2949.13;0
11226;2;37.29;2;1;18.64;0
14846;3;4355.61;3;3;1451.87;0
12349;3;4379.0782;3;3;1459.69;0
12668;3;4401.3996;3;3;1467.13;0
15700;3;3917.5425;3;2;1305.85;0
17742;3;4198.33;2;2;2099.16;0
11628;3;5875.55;2;2;2937.78;0
23862;3;69.97;1;1;69.97;0
21775;3;69.97;1;1;69.97;0
19345;3;69.97;1;1;69.97;0
12661;3;49.97;1;1;49.97;0
16976;3;1785.97;1;3;1785.97;0
22208;3;42.28;1;1;42.28;0
23773;3;88.97;1;1;88.97;0
16214;3;15.23;1;1;15.23;0
11348;3;67.97;1;2;67.97;0
19369;3;63.97;1;1;63.97;0
22035;3;69.97;1;1;69.97;0
26102;3;147.28;1;1;147.28;0
14469;3;64.47;1;2;64.47;0
26792;3;184.48;1;1;184.48;0
23228;3;62.97;1;2;62.97;0
13373;4;71.95;1;1;71.95;0
22072;4;617.47;1;3;617.47;0
20871;4;78.96;1;2;78.96;0
19093;4;6035.6;2;2;3017.8;0
27338;4;1339.92;2;2;669.96;0
14017;4;1848.9075;2;2;924.45;0
17743;4;2793.5225;2;3;1396.76;0
15652;4;4382.74;3;2;1460.91;0
12355;4;4400.0582;3;3;1466.69;0
12003;4;5774.46;3;3;1924.82;0
12637;4;4426.0582;3;2;1475.35;0
12345;4;40.22;3;2;13.41;0
12314;4;4423.3796;4;2;1105.84;0
16679;5;106.56;2;1;53.28;0
11255;5;113.96;2;1;56.98;0
12262;5;119.45;2;2;59.72;0
17063;5;100.25;2;2;50.12;0
16331;6;88.85;3;1;29.62;0
14353;6;113.86;3;1;37.95;0
14328;8;155.23;5;2;31.05;0
11631;12;266.33;16;2;16.65;0
11331;20;478.28;27;2;17.71;0
11520;8;212.43;16;2;13.28;0
11758;1;24.49;3;2;8.16;1
29767;1;24.294;1;1;24.29;1
19880;1;69.99;1;1;69.99;1
29578;1;323.994;1;1;323.99;1
23976;1;4.99;1;1;4.99;1
19625;1;28.99;2;1;14.5;1
14232;1;49.99;2;2;25;1
30001;1;72.162;2;2;36.08;1
25638;2;39.98;1;1;39.98;1
15307;2;39.98;1;1;39.98;1
17693;2;13.98;1;2;13.98;1
28600;2;119.98;1;1;119.98;1
26894;2;23.78;1;1;23.78;1
29802;2;144;1;1;144;1
29179;2;2393.06;1;2;2393.06;1
21090;2;548.98;1;2;548.98;1
23966;2;29.48;1;2;29.48;1
26222;2;561.48;1;2;561.48;1
